"Date","variable","Parameter","volume.group"
2013-03-18,"ar",0.32364643685338,"7"
2013-03-19,"ar",0.326121401602926,"7"
2013-03-20,"ar",0.328614246871337,"7"
2013-03-21,"ar",0.331124972658614,"7"
2013-03-22,"ar",0.333653578964755,"7"
2013-03-23,"ar",0.336200065789761,"7"
2013-03-24,"ar",0.338764433133633,"7"
2013-03-25,"ar",0.341346680996369,"7"
2013-03-26,"ar",0.343946809377971,"7"
2013-03-27,"ar",0.346564818278437,"7"
2013-03-28,"ar",0.349200707697769,"7"
2013-03-29,"ar",0.351854477635966,"7"
2013-03-30,"ar",0.354526128093028,"7"
2013-03-31,"ar",0.357215659068955,"7"
2013-04-01,"ar",0.359923070563747,"7"
2013-04-02,"ar",0.362648362577404,"7"
2013-04-03,"ar",0.365391535109926,"7"
2013-04-04,"ar",0.368152588161313,"7"
2013-04-05,"ar",0.370931521731565,"7"
2013-04-06,"ar",0.373728335820683,"7"
2013-04-07,"ar",0.376543030428665,"7"
2013-04-08,"ar",0.379375605555513,"7"
2013-04-09,"ar",0.382226061201225,"7"
2013-04-10,"ar",0.385094397365803,"7"
2013-04-11,"ar",0.387980614049245,"7"
2013-04-12,"ar",0.390884711251553,"7"
2013-04-13,"ar",0.393806688972726,"7"
2013-04-14,"ar",0.396746547212764,"7"
2013-04-15,"ar",0.399704285971667,"7"
2013-04-16,"ar",0.402679905249435,"7"
2013-04-17,"ar",0.405673405046068,"7"
2013-04-18,"ar",0.408684785361566,"7"
2013-04-19,"ar",0.41171404619593,"7"
2013-04-20,"ar",0.414761187549158,"7"
2013-04-21,"ar",0.417826209421251,"7"
2013-04-22,"ar",0.42090911181221,"7"
2013-04-23,"ar",0.424009894722033,"7"
2013-04-24,"ar",0.427128558150722,"7"
2013-04-25,"ar",0.430265102098276,"7"
2013-04-26,"ar",0.433419526564694,"7"
2013-04-27,"ar",0.436591831549978,"7"
2013-04-28,"ar",0.439782017054127,"7"
2013-04-29,"ar",0.442990083077141,"7"
2013-04-30,"ar",0.44621602961902,"7"
2013-05-01,"ar",0.449459856679764,"7"
2013-05-02,"ar",0.452721564259374,"7"
2013-05-03,"ar",0.456001152357848,"7"
2013-05-04,"ar",0.459298620975187,"7"
2013-05-05,"ar",0.462613970111391,"7"
2013-05-06,"ar",0.465947199766461,"7"
2013-05-07,"ar",0.469298309940396,"7"
2013-05-08,"ar",0.472667300633195,"7"
2013-05-09,"ar",0.47605417184486,"7"
2013-05-10,"ar",0.47945892357539,"7"
2013-05-11,"ar",0.482881555824784,"7"
2013-05-12,"ar",0.486322068593044,"7"
2013-05-13,"ar",0.489780461880169,"7"
2013-05-14,"ar",0.493256735686159,"7"
2013-05-15,"ar",0.496750890011015,"7"
2013-05-16,"ar",0.500262924854735,"7"
2013-05-17,"ar",0.50379284021732,"7"
2013-05-18,"ar",0.50734063609877,"7"
2013-05-19,"ar",0.510906312499086,"7"
