DateTime15,PPFD_Avg.mean,AirTC_Avg.mean,RH.mean,,
3/01/13 3:15,0,16.63,91.73333333,,
3/01/13 3:30,0.005666667,16.64,91.56666667,,
3/01/13 3:45,0,16.68666667,91.36666667,,
3/01/13 4:00,0,16.72,91.06666667,,
3/01/13 4:15,0.002666667,16.72666667,90.63333333,,
3/01/13 4:30,0.030666667,16.78666667,90.06666667,,
3/01/13 4:45,0.356666667,16.88333333,89.6,,
3/01/13 5:00,2.891333333,16.90666667,89.13333333,,
3/01/13 5:15,11.62566667,16.92,88.63333333,,
3/01/13 5:30,27.51333333,17.01333333,87.46666667,,
3/01/13 5:45,52.82,17.25,86.43333333,,
3/01/13 6:00,86.36333333,17.47666667,84.93333333,,
3/01/13 6:15,131.5333333,17.75,83.76666667,,
3/01/13 6:30,191.9666667,17.99666667,81.7,,
3/01/13 6:45,294.2333333,18.4,78.68,,
3/01/13 7:00,353.8,18.78333333,74.54333333,,
3/01/13 7:15,446.1,19.16333333,71.62333333,,
3/01/13 7:30,494.3,19.44,68.26666667,,
3/01/13 7:45,555.7333333,19.78333333,66.78666667,,
3/01/13 8:00,612.2333333,20.18333333,63.68,,
3/01/13 8:15,765.6666667,20.45,62.14,,
3/01/13 8:30,752.4666667,20.75,62.21333333,,
3/01/13 8:45,645.2666667,20.66666667,61.20333333,,
3/01/13 9:00,1098,21.09,58.94666667,,
3/01/13 9:15,1561.666667,21.59666667,58.27666667,,
3/01/13 9:30,1632.666667,21.96,55.36666667,,
3/01/13 9:45,1634,21.83333333,56.57333333,,
3/01/13 10:00,1911.666667,22.51666667,54.64666667,,
3/01/13 10:15,1403.333333,22.87666667,54.15666667,,
3/01/13 10:30,1282.666667,22.59,55.08,,
3/01/13 10:45,2071.333333,22.97666667,54.28333333,,
3/01/13 11:00,1115.8,22.97666667,54.01,,
3/01/13 11:15,1030.833333,23.18666667,53.73,,
3/01/13 11:30,1197,23.62666667,52.48666667,,
3/01/13 11:45,1314.666667,24.04,50.19333333,,
3/01/13 12:00,1720.666667,24.60666667,48.90333333,,
3/01/13 12:15,1565.666667,24.72,49.75666667,,
3/01/13 12:30,2131.666667,25.18,48.62666667,,
3/01/13 12:45,2091.333333,25.46,46.66666667,,
3/01/13 13:00,2169.666667,25.58,46.91333333,,
3/01/13 13:15,1953,25.83,46.08,,
3/01/13 13:30,1232.666667,25.87333333,45.81666667,,
3/01/13 13:45,2146.666667,26.53,45.46666667,,
3/01/13 14:00,1107.4,26.10333333,45.48333333,,
3/01/13 14:15,1844,27.07333333,43.11333333,,
3/01/13 14:30,1426,26.47666667,44.20333333,,
3/01/13 14:45,1764.333333,27.22666667,42.04666667,,
3/01/13 15:00,1609,27.15333333,43.42333333,,
3/01/13 15:15,1516,27.36,41.11666667,,
3/01/13 15:30,1441.666667,27.42,42.03666667,,
3/01/13 15:45,1334.666667,27.46666667,41.88,,
3/01/13 16:00,1240.666667,27.71,40.27,,
3/01/13 16:15,1133.333333,27.48,41.22333333,,
3/01/13 16:30,1032.666667,28.20333333,40.16666667,,
3/01/13 16:45,928.3333333,28.35,38.75666667,,
3/01/13 17:00,820.8666667,28.14666667,41.27666667,,
3/01/13 17:15,691.7333333,27.81333333,43.61,,
3/01/13 17:30,604.1666667,27.04666667,46.9,,
3/01/13 17:45,499.9,26.24666667,49.40666667,,
3/01/13 18:00,401.2666667,25.63333333,51.20666667,,
3/01/13 18:15,302.4666667,25.15666667,52.97333333,,
3/01/13 18:30,213.1,24.82333333,53.95666667,,
3/01/13 18:45,132.8666667,24.43,55.03,,
3/01/13 19:00,60.39666667,23.87333333,57.57666667,,
3/01/13 19:15,24.62666667,23.30333333,60.33666667,,
3/01/13 19:30,5.837666667,22.91666667,62.24333333,,
3/01/13 19:45,0.556666667,22.55,63.63666667,,
3/01/13 20:00,0.019333333,22.28,64.31666667,,
3/01/13 20:15,0.011,22.12333333,64.66666667,,
3/01/13 20:30,0.022,21.90333333,65.44,,
3/01/13 20:45,0.036,21.65666667,66.32666667,,
3/01/13 21:00,0.016666667,21.54,66.96333333,,
3/01/13 21:15,0.030666667,21.34333333,67.71666667,,
3/01/13 21:30,0.036,21.02333333,68.89666667,,
3/01/13 21:45,0.047,20.62666667,70.61666667,,
3/01/13 22:00,0.069666667,20.11,72.85333333,,
3/01/13 22:15,0.058,19.52,75.29333333,,
3/01/13 22:30,0.084,19.09,78.41333333,,
3/01/13 22:45,0.019333333,18.99666667,79.79,,
3/01/13 23:00,0.002666667,18.54333333,80.4,,
3/01/13 23:15,0.005666667,17.77,83.73333333,,
3/01/13 23:30,0.027666667,17.58666667,84.33333333,,
3/01/13 23:45,0.022333333,17.18666667,85.33333333,,
4/01/13 0:00,0.016666667,17.24,86.6,,
4/01/13 0:15,0.025,17.16333333,86.96666667,,
4/01/13 0:30,0.036,16.94666667,87.93333333,,
4/01/13 0:45,0.014,17.21,88.53333333,,
4/01/13 1:00,0.002666667,16.74666667,88.6,,
4/01/13 1:15,0.008,16.83,89.33333333,,
4/01/13 1:30,0.002666667,16.64666667,89.5,,
4/01/13 1:45,0,16.44333333,89.73333333,,
4/01/13 2:00,0.013666667,16.11666667,90.1,,
4/01/13 2:15,0,15.99666667,90.43333333,,
4/01/13 2:30,0,15.91666667,90.73333333,,
4/01/13 2:45,0.002666667,15.94666667,91.06666667,,
4/01/13 3:00,0,15.92666667,91.33333333,,
4/01/13 3:15,0.002666667,15.66333333,91.46666667,,
4/01/13 3:30,0,15.52333333,91.66666667,,
4/01/13 3:45,0,15.38333333,91.73333333,,
4/01/13 4:00,0,15.46333333,92.23333333,,
4/01/13 4:15,0.002666667,15.42,92.03333333,,
4/01/13 4:30,0.036,14.99666667,92.1,,
4/01/13 4:45,0.716,14.86333333,92.46666667,,
4/01/13 5:00,6.919,15.12,92.7,,
4/01/13 5:15,27.38,15.06,92.76666667,,
4/01/13 5:30,58.81666667,15.22333333,93.06666667,,
4/01/13 5:45,101.07,15.12333333,93,,
4/01/13 6:00,240.7666667,15.68333333,93.43333333,,
4/01/13 6:15,333.8333333,17.31333333,93.36666667,,
4/01/13 6:30,429.8,17.81666667,93.03333333,,
4/01/13 6:45,532.4,18.59333333,91.46666667,,
4/01/13 7:00,641.5333333,18.9,87.2,,
4/01/13 7:15,753.3,20.11333333,79.59333333,,
4/01/13 7:30,864.3333333,21.10333333,73.67,,
4/01/13 7:45,970.3333333,21.58333333,71.48333333,,
4/01/13 8:00,1075,21.85666667,70.10333333,,
4/01/13 8:15,1179.666667,22.12666667,69.05666667,,
4/01/13 8:30,1282,22.74,66.36,,
4/01/13 8:45,1376.333333,23.54,63.63,,
4/01/13 9:00,1467.333333,24.24,60.57333333,,
4/01/13 9:15,1557,24.56333333,57.38666667,,
4/01/13 9:30,1626.666667,25.07666667,55.26333333,,
4/01/13 9:45,1713.666667,25.63,52.20666667,,
4/01/13 10:00,1783.333333,26.21666667,51.60333333,,
4/01/13 10:15,1843.666667,26.81333333,50.21,,
4/01/13 10:30,1904,27.51333333,44.42333333,,
4/01/13 10:45,1949.666667,27.34666667,44.26333333,,
4/01/13 11:00,1994,27.95,42.36,,
4/01/13 11:15,2025.666667,28.23,41.49333333,,
4/01/13 11:30,2053.333333,28.99333333,37.03,,
4/01/13 11:45,2071,29.50333333,36.13666667,,
4/01/13 12:00,2081.333333,30.3,33.55,,
4/01/13 12:15,2083.666667,31.06,31.91,,
4/01/13 12:30,2078.333333,30.84333333,30.85333333,,
4/01/13 12:45,2062.333333,31.36333333,29.74,,
4/01/13 13:00,2042.666667,31.86666667,28.97333333,,
4/01/13 13:15,2013,32.16333333,27.75,,
4/01/13 13:30,1976.666667,32.62666667,26.42,,
4/01/13 13:45,1930.333333,33.04666667,25.35666667,,
4/01/13 14:00,1877,33.09666667,24.46,,
4/01/13 14:15,1819,33.73,23.63,,
4/01/13 14:30,1756,34.23666667,21.89666667,,
4/01/13 14:45,1683.333333,34.16333333,21.46,,
4/01/13 15:00,1604.333333,34.78,23.99333333,,
4/01/13 15:15,1512.666667,33.35666667,32.72,,
4/01/13 15:30,1425,32.92333333,34.8,,
4/01/13 15:45,1335,32.68666667,36.15333333,,
4/01/13 16:00,1239.666667,32.37666667,36.43666667,,
4/01/13 16:15,1140.333333,31.97666667,38.14666667,,
4/01/13 16:30,1037.666667,31.51,38.73666667,,
4/01/13 16:45,933.6666667,31.28333333,38.81,,
4/01/13 17:00,828.8,30.96333333,38.98333333,,
4/01/13 17:15,721.8,30.67333333,39.71333333,,
4/01/13 17:30,614.3,30.37333333,40.40666667,,
4/01/13 17:45,508.5666667,29.84666667,42.07,,
