plot,pot,Date,volume,campaign,leaf_area,leaf_mass,sla,massarea,starch_mgperg,sugars_mgperg,starch,sugars,tnc,lma_notnc
7,3,16/05/2013,25,6,18.83,0.18,0.010461111,95.5921402,91.43414634,71.98233333,0.091434146,0.071982333,0.16341648,114.2649095
7,4,7/03/2013,10,1,16.7,0.21,0.007952381,125.748503,157.3902439,41.09659892,0.157390244,0.041096599,0.198486843,156.8888818
7,4,22/03/2013,10,2,9.28,0.1,0.00928,107.7586207,7.975903614,70.59231024,0.007975904,0.07059231,0.078568214,116.9469323
7,4,8/04/2013,10,3,15.655,0.155,0.0101,99.00990099,61.77220089,90.26877896,0.061772201,0.090268779,0.15204098,116.7626013
7,4,17/04/2013,10,4,11.65,0.13,0.008961538,111.5879828,41.07089552,51.36885199,0.041070896,0.051368852,0.092439748,122.9538012
7,4,1/05/2013,10,5,18.84,0.16,0.011775,84.92569002,61.96621622,65.80098536,0.061966216,0.065800985,0.127767202,97.36585253
7,4,16/05/2013,10,6,16.16,0.14,0.011542857,86.63366337,74.90625,67.22443452,0.07490625,0.067224435,0.142130685,100.9870173
7,5,7/03/2013,20,1,18.6,0.18,0.010333333,96.77419355,187.7142857,39.25194444,0.187714286,0.039251944,0.22696623,125.1875368
7,5,22/03/2013,20,2,16.94,0.2,0.00847,118.0637544,239.9464286,38.47454241,0.239946429,0.038474542,0.278420971,163.6186054
7,5,8/04/2013,20,3,16.045,0.205,0.007826829,127.7656591,175.7201366,75.37701365,0.175720137,0.075377014,0.25109715,170.6037828
7,5,17/04/2013,20,4,26.91,0.22,0.012231818,81.7539948,94.65107914,44.33382854,0.094651079,0.044333829,0.138984908,94.95071054
7,5,1/05/2013,20,5,23.24,0.22,0.010563636,94.66437177,84.13392857,52.75695313,0.084133929,0.052756953,0.136890882,109.6783359
7,5,16/05/2013,20,6,22.91,0.21,0.010909524,91.66302924,122.625,88.11924279,0.122625,0.088119243,0.210744243,116.1385627
7,6,7/03/2013,5,1,19.7,0.18,0.010944444,91.37055838,143.5913978,39.39205496,0.143591398,0.039392055,0.182983453,111.8344037
7,6,22/03/2013,5,2,19.72,0.22,0.008963636,111.5618661,192.826087,33.474851,0.192826087,0.033474851,0.226300938,144.1928414
7,6,8/04/2013,5,3,8.925,0.09,0.009916667,100.8403361,190.7843865,55.24734201,0.190784387,0.055247342,0.246031729,133.7461269
7,6,17/04/2013,5,4,18.06,0.22,0.008209091,121.8161683,104.2653061,67.67064602,0.104265306,0.067670646,0.171935952,147.1095969
7,6,16/05/2013,5,6,9.25,0.11,0.008409091,118.9189189,28.82038835,91.39286044,0.028820388,0.09139286,0.120213249,135.1678901
7,8,7/03/2013,35,1,29.9,0.21,0.014238095,70.23411371,101.4705882,47.48291811,0.101470588,0.047482918,0.148953506,82.52676468
7,8,22/03/2013,35,2,32.13,0.24,0.0133875,74.69654528,85.74324324,71.69195383,0.085743243,0.071691954,0.157435197,88.65376886
7,8,8/04/2013,35,3,22.72,0.235,0.009668085,103.4330986,140.0833333,64.93432087,0.140083333,0.064934321,0.205017654,130.1074158
7,8,17/04/2013,35,4,22.42,0.23,0.009747826,102.5869759,145.1571429,53.3948869,0.145157143,0.053394887,0.19855203,128.002041
7,8,1/05/2013,35,5,13.1,0.16,0.0081875,122.1374046,165.326087,61.82803744,0.165326087,0.061828037,0.227154124,158.0359143
7,8,16/05/2013,35,6,19.39,0.29,0.006686207,149.5616297,187.5,88.66935697,0.1875,0.088669357,0.276169357,206.6251701
